batch_id,sauce_id,produced_quantity,production_date
B00803,SC018,1095,2024-09-24
B00804,SC006,1147,2024-09-24
B00805,SC042,282,2024-09-24
B00806,SC031,1903,2024-09-24
B00807,SC037,545,2024-09-25
B00808,SC037,1065,2024-09-25
B00809,SC006,914,2024-09-25
B00810,SC006,1445,2024-09-25
B00811,SC003,938,2024-09-25
B00812,SC009,330,2024-09-26
B00813,SC050,498,2024-09-27
B00814,SC045,143,2024-09-27
B00815,SC011,1355,2024-09-27
B00816,SC036,1880,2024-09-27
B00817,SC007,721,2024-09-28
B00818,SC006,1802,2024-09-28
B00819,SC028,327,2024-09-28
B00820,SC026,1483,2024-09-29
B00821,SC031,1140,2024-09-29
B00822,SC008,617,2024-09-29
B00823,SC036,1189,2024-09-29
B00824,SC028,673,2024-09-29
B00825,SC027,1176,2024-09-29
B00826,SC009,360,2024-09-29
B00827,SC001,1871,2024-09-30
B00828,SC026,1788,2024-09-30
B00829,SC007,838,2024-09-30
B00830,SC006,1084,2024-09-30
B00831,SC028,516,2024-10-01
B00832,SC008,440,2024-10-02
B00833,SC012,1073,2024-10-02
B00834,SC017,1821,2024-10-02
B00835,SC028,383,2024-10-02
B00836,SC018,1221,2024-10-03
B00837,SC001,868,2024-10-03
B00838,SC029,314,2024-10-04
B00839,SC016,1156,2024-10-04
B00840,SC049,318,2024-10-05
B00841,SC002,697,2024-10-05
B00842,SC039,463,2024-10-05
B00843,SC006,1804,2024-10-05
B00844,SC011,1481,2024-10-06
B00845,SC018,1447,2024-10-06
B00846,SC011,1233,2024-10-06
B00847,SC027,950,2024-10-06
B00848,SC031,1676,2024-10-06
B00849,SC036,1250,2024-10-06
B00850,SC011,1362,2024-10-06
B00851,SC007,816,2024-10-07
B00852,SC002,472,2024-10-07
B00853,SC010,186,2024-10-07
B00854,SC049,300,2024-10-08
B00855,SC019,319,2024-10-08
B00856,SC017,1189,2024-10-08
B00857,SC024,317,2024-10-08
B00858,SC036,1798,2024-10-08
B00859,SC026,1096,2024-10-08
B00860,SC036,1102,2024-10-09
B00861,SC021,455,2024-10-09
B00862,SC024,153,2024-10-09
B00863,SC013,560,2024-10-09
B00864,SC009,234,2024-10-09
B00865,SC019,377,2024-10-10
B00866,SC031,1240,2024-10-10
B00867,SC007,664,2024-10-10
B00868,SC033,367,2024-10-10
B00869,SC002,1173,2024-10-10
B00870,SC037,1122,2024-10-12
B00871,SC044,211,2024-10-13
B00872,SC038,633,2024-10-14
B00873,SC036,1243,2024-10-14
B00874,SC011,971,2024-10-14
B00875,SC026,1044,2024-10-14
B00876,SC017,962,2024-10-14
B00877,SC018,1069,2024-10-15
B00878,SC011,1792,2024-10-15
B00879,SC044,307,2024-10-15
B00880,SC038,742,2024-10-16
B00881,SC033,725,2024-10-17
B00882,SC018,1953,2024-10-17
B00883,SC027,1184,2024-10-17
B00884,SC016,809,2024-10-18
B00885,SC019,392,2024-10-18
B00886,SC036,1972,2024-10-18
B00887,SC041,218,2024-10-18
B00888,SC046,272,2024-10-19
B00889,SC023,485,2024-10-19
B00890,SC032,950,2024-10-20
B00891,SC007,480,2024-10-20
B00892,SC047,434,2024-10-20
B00893,SC033,226,2024-10-21
B00894,SC019,358,2024-10-21
B00895,SC040,181,2024-10-21
B00896,SC021,1133,2024-10-21
B00897,SC001,902,2024-10-21
B00898,SC031,1322,2024-10-22
B00899,SC046,202,2024-10-23
B00900,SC006,835,2024-10-23
B00901,SC046,386,2024-10-23
B00902,SC023,341,2024-10-24
B00903,SC001,1392,2024-10-25
B00904,SC032,990,2024-10-26
B00905,SC006,1735,2024-10-26
B00906,SC032,1137,2024-10-26
B00907,SC009,359,2024-10-27
B00908,SC035,228,2024-10-27
B00909,SC026,1896,2024-10-27
B00910,SC036,1008,2024-10-28
B00911,SC020,492,2024-10-28
B00912,SC047,407,2024-10-28
B00913,SC004,490,2024-10-28
B00914,SC023,517,2024-10-28
B00915,SC004,361,2024-10-30
B00916,SC021,578,2024-10-30
B00917,SC011,1755,2024-10-30
B00918,SC019,357,2024-11-01
B00919,SC013,702,2024-11-02
B00920,SC049,556,2024-11-03
B00921,SC026,1099,2024-11-03
B00922,SC027,983,2024-11-03
B00923,SC031,1785,2024-11-03
B00924,SC029,319,2024-11-03
B00925,SC031,1265,2024-11-03
B00926,SC018,1569,2024-11-03
B00927,SC016,1048,2024-11-04
B00928,SC044,486,2024-11-05
B00929,SC021,684,2024-11-06
B00930,SC009,283,2024-11-06
B00931,SC018,1492,2024-11-06
B00932,SC008,337,2024-11-06
B00933,SC009,461,2024-11-07
B00934,SC019,324,2024-11-07
B00935,SC018,947,2024-11-07
B00936,SC008,441,2024-11-08
B00937,SC018,924,2024-11-08
B00938,SC017,986,2024-11-08
B00939,SC028,663,2024-11-08
B00940,SC049,372,2024-11-10
B00941,SC002,554,2024-11-11
B00942,SC033,592,2024-11-11
B00943,SC027,1162,2024-11-11
B00944,SC036,1718,2024-11-11
B00945,SC016,593,2024-11-11
B00946,SC023,714,2024-11-13
B00947,SC012,891,2024-11-13
B00948,SC027,661,2024-11-13
B00949,SC003,553,2024-11-14
B00950,SC003,896,2024-11-14
B00951,SC044,617,2024-11-14
B00952,SC030,290,2024-11-14
B00953,SC001,1242,2024-11-15
B00954,SC036,1731,2024-11-15
B00955,SC031,1975,2024-11-15
B00956,SC018,1048,2024-11-15
B00957,SC008,485,2024-11-15
B00958,SC006,1761,2024-11-17
B00959,SC043,961,2024-11-17
B00960,SC037,798,2024-11-17
B00961,SC016,638,2024-11-17
B00962,SC036,1205,2024-11-17
B00963,SC001,1626,2024-11-17
B00964,SC011,1130,2024-11-20
B00965,SC001,1641,2024-11-21
B00966,SC038,433,2024-11-21
B00967,SC039,471,2024-11-21
B00968,SC005,122,2024-11-21
B00969,SC006,1610,2024-11-21
B00970,SC047,218,2024-11-22
B00971,SC018,1178,2024-11-24
B00972,SC006,1575,2024-11-24
B00973,SC013,646,2024-11-24
B00974,SC026,1610,2024-11-25
B00975,SC037,513,2024-11-26
B00976,SC026,1844,2024-11-26
B00977,SC031,1787,2024-11-26
B00978,SC006,1773,2024-11-27
B00979,SC037,698,2024-11-27
B00980,SC036,1673,2024-11-27
B00981,SC013,328,2024-11-27
B00982,SC021,850,2024-11-27
B00983,SC014,334,2024-11-27
B00984,SC031,1648,2024-11-27
B00985,SC031,1776,2024-11-28
B00986,SC034,389,2024-11-28
B00987,SC001,1222,2024-11-28
B00988,SC031,1880,2024-11-28
B00989,SC011,1132,2024-11-29
B00990,SC001,1686,2024-11-29
B00991,SC031,1188,2024-11-29
B00992,SC011,1900,2024-11-30
B00993,SC016,679,2024-11-30
B00994,SC046,269,2024-11-30
B00995,SC001,913,2024-11-30
B00996,SC026,1043,2024-11-30
B00997,SC035,234,2024-11-30
B00998,SC018,1765,2024-11-30
B00999,SC048,155,2024-12-01
B01000,SC033,517,2024-12-01
B01001,SC017,828,2024-12-01
B01002,SC037,953,2024-12-02
B01003,SC049,404,2024-12-02
B01004,SC002,705,2024-12-02
B01005,SC037,527,2024-12-02
B01006,SC017,1515,2024-12-02
B01007,SC021,777,2024-12-03
B01008,SC023,527,2024-12-04
B01009,SC001,1451,2024-12-04
B01010,SC017,1740,2024-12-04
B01011,SC007,1000,2024-12-04
B01012,SC027,775,2024-12-04
B01013,SC044,373,2024-12-05
B01014,SC038,438,2024-12-06
B01015,SC049,417,2024-12-06
B01016,SC026,1259,2024-12-06
B01017,SC006,1093,2024-12-06
B01018,SC038,495,2024-12-07
B01019,SC033,615,2024-12-07
B01020,SC002,722,2024-12-09
B01021,SC026,907,2024-12-10
B01022,SC001,1877,2024-12-10
B01023,SC006,1430,2024-12-10
B01024,SC046,769,2024-12-10
B01025,SC002,873,2024-12-10
B01026,SC014,490,2024-12-10
B01027,SC026,1334,2024-12-10
B01028,SC018,1580,2024-12-12
B01029,SC043,623,2024-12-12
B01030,SC037,1182,2024-12-12
B01031,SC004,270,2024-12-12
B01032,SC001,1565,2024-12-13
B01033,SC043,1087,2024-12-13
B01034,SC011,976,2024-12-13
B01035,SC017,1245,2024-12-14
B01036,SC017,1643,2024-12-15
B01037,SC026,1183,2024-12-15
B01038,SC046,637,2024-12-15
B01039,SC007,1042,2024-12-16
B01040,SC045,258,2024-12-16
B01041,SC006,917,2024-12-16
B01042,SC006,832,2024-12-16
B01043,SC020,384,2024-12-16
B01044,SC026,1287,2024-12-17
B01045,SC013,265,2024-12-18
B01046,SC002,839,2024-12-19
B01047,SC012,729,2024-12-19
B01048,SC025,256,2024-12-20
B01049,SC019,521,2024-12-21
B01050,SC001,1912,2024-12-22
B01051,SC039,379,2024-12-22
B01052,SC001,887,2024-12-22
B01053,SC007,548,2024-12-22
B01054,SC013,323,2024-12-22
B01055,SC050,384,2024-12-22
B01056,SC026,1653,2024-12-22
B01057,SC008,377,2024-12-23
B01058,SC003,995,2024-12-23
B01059,SC038,351,2024-12-23
B01060,SC018,1472,2024-12-23
B01061,SC016,832,2024-12-24
B01062,SC007,734,2024-12-25
B01063,SC027,408,2024-12-25
B01064,SC029,106,2024-12-25
B01065,SC031,998,2024-12-26
B01066,SC012,429,2024-12-26
B01067,SC032,1139,2024-12-26
B01068,SC001,871,2024-12-26
B01069,SC018,1825,2024-12-26
B01070,SC002,414,2024-12-26
B01071,SC035,258,2024-12-26
B01072,SC007,1069,2024-12-27
B01073,SC048,144,2024-12-28
B01074,SC006,1226,2024-12-28
B01075,SC026,1219,2024-12-28
B01076,SC017,1962,2024-12-29
B01077,SC002,934,2024-12-30
B01078,SC011,852,2024-12-30
B01079,SC031,1164,2024-12-31
